S.N,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,F1,F2,F3,G1,G2,G3,H1,H2,H3,IRI
283,0,0,0,0,0,0.18,0.55,0,0.23,0,0,0.75,0,0,0.55,0,0,0,0,0,0,0,0,0,7.22
284,0,0.52,0,0,1.24,0,0.6,0.23,0.23,0,0.15,0,0,0.12,0.22,0.01,0.02,0,0,0.23,0,0.41,0,0,2.84
285,0.12,0,0.25,0,0,0,0.55,0.23,0.32,0.34,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,3.12
286,0,0.45,0,1.23,0,0,0.64,1.13,0,0,0,0.23,0,0,0.78,0,0,0,0.15,0.23,0,0,0,0,2.55
287,0,0.36,0,0,0.52,0,0.89,0,0.26,0.12,0.43,0.23,0,0.18,0.25,0,0,0.01,0,0.35,0,0,0,0,4.85
288,0,0.15,0,0,0,0.55,0.1,0.32,0.32,0.6,0.47,0,0,0.12,0.76,0,0,0,0,0,0,0,0,0,3.02
289,0,0,0.18,0,0.12,0,0.32,0.23,0.12,0.43,0.11,0.48,0.15,0.32,0.23,0,0.01,0.02,0,0,0,0,0.15,0,4.59
290,0,0.23,0,0,0.25,0,0.84,1.04,0,0,0,0,0,0,0.15,0,0,0,0,0,0.66,0,0,0,4.88
291,0.15,0,0.32,0.25,0,0,0.32,0.75,0,0,0.22,0.11,0.12,0.15,0.82,0,0,0,0,0,0.15,0,0,0,4.45
292,0,0.75,0,0,2.3,1.21,0.44,0.735,0,0.411,0,0,0,0,0,0,0,0,0,0.11,0,0,0.15,0,4.65
293,0.21,0,0.23,0,0,0,0.54,0.25,0.44,0.11,0.78,0,0,0.58,0.99,0,0,0,0,0.14,0,0.11,0,0,5.12
294,0,0.23,0,0.562,0.65,0.26,0.213,0.32,0.21,0.41,0,0.413,0,0.21,0,0,0,0.01,0,0.11,0.3,0,0.11,0.213,5.55
